topic,category,information,sdg_target,source,action_items
E-Waste Disposal,SDG 12,Electronic waste contains toxic materials like lead, mercury, and cadmium. Proper disposal prevents soil and water contamination. E-waste recycling recovers valuable materials like gold and silver.,SDG 12.4,UN SDG Guidelines,Take electronics to certified e-waste centers. Check for manufacturer take-back programs.
Plastic Recycling,SDG 12,Only 9% of plastic ever produced has been recycled. Single-use plastics contribute significantly to ocean pollution. Recycling reduces energy consumption by 75% compared to new production.,SDG 12.5,UNEP Report,Reduce single-use plastics. Use reusable alternatives. Clean plastics before recycling.
Composting,SDG 12,Organic waste in landfills produces methane, a potent greenhouse gas. Composting reduces methane emissions and creates nutrient-rich soil. Reduces waste by 30%.,SDG 12.3,EPA Guidelines,Start home composting. Use municipal composting services. Avoid meat and dairy in compost.
Energy Conservation,SDG 7,Reducing energy consumption decreases carbon emissions. Energy-efficient appliances can reduce household energy use by 30%. Renewable energy sources are crucial for sustainability.,SDG 7.3,UN SDG Guidelines,Use LED bulbs. Unplug devices when not in use. Choose renewable energy providers.
Water Conservation,SDG 6,Only 2.5% of Earth's water is fresh. Water conservation reduces energy needed for treatment and distribution. Fixing leaks can save thousands of gallons annually.,SDG 6.4,UN Water,Fix leaks immediately. Use water-efficient fixtures. Collect rainwater for gardening.
Carbon Footprint,SDG 13,The average person produces 4 tons of CO2 annually. Transportation accounts for 29% of greenhouse gas emissions. Reducing consumption lowers carbon footprint.,SDG 13.3,IPCC Report,Use public transport. Reduce air travel. Choose local products.
Sustainable Consumption,SDG 12,Buying less and choosing quality over quantity reduces waste. The circular economy model promotes reuse and recycling. Sustainable choices protect resources for future generations.,SDG 12.2,UN SDG Guidelines,Buy only what you need. Choose durable products. Support sustainable brands.
Hazardous Waste,SDG 12,Hazardous waste improperly disposed can contaminate soil and groundwater for decades. Pharmaceuticals in water systems affect aquatic life. Proper disposal protects ecosystems.,SDG 12.4,EPA Guidelines,Never pour chemicals down drains. Use designated collection centers. Return expired medicines to pharmacies.
Textile Waste,SDG 12,The fashion industry produces 10% of global carbon emissions. Textiles take 200+ years to decompose. Donating and recycling extends product life.,SDG 12.5,UNEP Report,Donate wearable clothes. Buy second-hand. Choose sustainable fabrics.
Food Waste,SDG 12,One-third of all food produced is wasted. Food waste in landfills produces methane. Reducing food waste saves resources and reduces hunger.,SDG 12.3,FAO Report,Plan meals to reduce waste. Store food properly. Compost food scraps.
